,City,Prop Locals Working,Prop Workers Local,Population,Lat,Lon,Child Care Capacity,Poverty Rate,Renter Rate,Median Rent,Median Income,Rent Burden,Eviction Rate,Filing Rate,Samples,Q50 In,Q90 In,Q95 In,Q99 In,Q50 Out,Q90 Out,Q95 Out,Q99 Out,Job Market,Scaled Job Market,Scaled Child Care
0,"Altoona, IA",0.5431117228389808,0.3881769700735218,14541,41.65,-93.4725,1216,5.135625000000001,27.3375,692.375,62662.5625,24.6,2.573125,7.19125,16,0.020806186082184912,0.10256818354526695,0.2664466758174361,0.788851245766274,0.00764880263677921,0.12365473484587489,0.3014800644120203,1.0576997211719779,154512,10.625954198473282,0.0836256103431676
1,"Anita, IA",0.17238912732474965,0.28104956268221576,972,41.446670000000005,-94.76556,73,8.508823529411764,25.45117647058824,437.29411764705884,35714.35294117647,25.082352941176467,0.6258823529411766,0.7876470588235295,17,0.13704935168848267,0.43563706720413187,0.6029572929450877,2.036648462751677,0.10702220728382664,0.4834403834675081,0.9960116520152008,3.3070594448885027,1715,1.76440329218107,0.07510288065843622
2,"Audubon, IA",0.33016250495441934,0.36907399202481167,2176,41.720279999999995,-94.92833,122,10.51941176470588,19.235294117647058,454.35294117647067,36401.94117647059,20.352941176470583,0.5129411764705882,0.6911764705882353,17,0.10609750102965225,0.3955941934966476,0.7348946453493292,1.258903689302251,0.10030284323899824,0.5288088477968101,0.9967940139471223,2.0344502167522664,2257,1.0372242647058822,0.05606617647058824
3,"Buffalo Center, IA",0.19659936238044634,0.3406998158379374,905,43.386390000000006,-93.94833,79,9.5075,21.264375,475.4375,34018.625,21.2375,0.285625,0.35687499999999994,16,0.3086028328106729,0.7502615196400072,1.0729285456984932,2.0245947168692693,0.26693806994302477,1.3262604066508061,1.572679748686775,3.3063475216756384,543,0.6,0.08729281767955802
4,"Columbus Junction, IA",0.2693333333333333,0.31917134831460675,1899,41.27833,-91.3625,136,12.555882352941177,34.67,509.64705882352933,43374.0,24.205882352941174,0.5123529411764707,0.6864705882352942,17,0.11205108481895129,0.5419166230336692,1.0375098338606537,3.80604266022456,0.09719906508269283,0.6548124598988463,1.2582621031007912,2.3203260825695278,2848,1.4997367035281728,0.07161664033701948
5,"Corning, IA",0.36779324055666,0.3858185610010427,1635,40.99139,-94.73694,110,8.269411764705879,30.64058823529412,373.0,34813.82352941176,22.75294117647059,0.4747058823529412,0.5141176470588236,17,0.21998856230343025,0.6006305382246869,0.8696200424368558,2.4219995984724942,0.28592345476988623,1.3873845902638537,1.5970487009523584,6.334667328826254,959,0.5865443425076453,0.0672782874617737
6,"Correctionville, IA",0.15063829787234043,0.2532188841201717,821,42.47667,-95.78472,12,14.641875,15.86,450.9375,36221.8125,30.5,1.011875,1.208125,16,0.2688867303869894,0.65625677496546,1.2458293915473113,2.856231245628126,0.22941172760034304,1.2745434025340616,1.8715376544511926,7.438509655492345,699,0.8514007308160779,0.014616321559074299
7,"Elma, IA",0.048628428927680795,0.19306930693069307,546,43.24556,-92.43861,34,9.89470588235294,26.08117647058824,510.1764705882353,33862.882352941175,18.064705882352943,0.5217647058823529,0.7347058823529413,17,0.42215247898599867,1.1967503248278206,1.9035104392455309,3.2300266902050914,0.17067100020615197,1.0546201577374494,1.2916663942035602,2.744091455081148,404,0.73992673992674,0.06227106227106227
8,"Epworth, IA",0.28539690677604035,0.26436599651733417,1860,42.44583,-90.93111,59,4.835,17.778125,564.25,57964.75,19.30625,0.8243749999999999,1.024375,16,0.033730274430967815,0.2078908921267166,0.3533516465161034,1.0346984316304086,0.03523228251742277,0.28385141599644714,0.5412875147491149,1.7434446059966608,12634,6.7924731182795695,0.031720430107526884
9,"Everly, IA",0.5593350777281823,0.4350532742727164,603,43.15972,-95.32528,50,9.31470588235294,22.44117647058824,555.6470588235294,44144.176470588245,24.323529411764714,0.3535294117647059,0.6188235294117647,17,0.06148418284209951,0.30089300176828676,0.5201823962828932,0.9997942882372206,0.0740507081041829,0.42949228871851053,0.7551972873595182,1.0455724500713743,8353,13.85240464344942,0.08291873963515754
10,"Fruitland, IA",0.5844252834544097,0.5520071822495832,977,41.35222,-91.12611,20,3.895625,5.261875,622.0625,71171.25,37.61875,6.4212500000000015,9.06375,16,0.037356326774625345,0.21037782242447003,0.33750201377934047,1.2634546824591013,0.033758842798193404,0.38775655494023287,0.7221692368325389,1.791607213529486,15594,15.961105424769704,0.02047082906857728
11,"Hamburg, IA",0.23756906077348067,0.4673913043478261,1187,40.60583,-95.655,14,13.610588235294115,34.86470588235294,464.29411764705884,31542.176470588238,26.24705882352941,0.618235294117647,0.7652941176470588,17,0.4162194577584378,1.0825422411853536,1.8299956496471883,3.213006395149331,0.24559981737930434,1.0312654238538397,2.0823528112802445,4.856529290620689,736,0.620050547598989,0.011794439764111205
12,"Lake Park, IA",0.2926741248646698,0.22534037232564602,1105,43.45278,-95.32167,24,3.14375,21.793125,527.0625,47937.5625,18.05,0.7175,1.0368750000000002,16,0.08577548063423793,0.39112394000887546,0.8310623526529985,2.9004057929792597,0.12745002876766215,0.8290542610167864,1.4003236796670833,2.53312336213573,3599,3.2570135746606335,0.02171945701357466
13,"Le Claire, IA",0.39412142333088773,0.3257038917730873,3765,41.596109999999996,-90.35639,169,5.258333333333334,18.851666666666667,546.0,58332.25,24.4,2.3925000000000005,3.370000000000001,12,0.04028817806921222,0.23420254774042498,0.42088836969009474,1.268345880579922,0.03436936867936121,0.29163222476702305,0.8978956569023493,2.111832497068589,26389,7.009030544488712,0.0448871181938911
14,"Le Mars, IA",0.529774972557629,0.49857954545454547,9826,42.78889,-96.16583,438,5.485882352941177,25.94176470588236,483.64705882352933,46851.0,23.44705882352941,0.5476470588235294,0.6894117647058823,17,0.0572799715938276,0.32004094773541886,0.5185947813421782,0.8190508065134293,0.062151137454938,0.36891017072322074,0.7681517669952866,1.9788199750906572,7744,0.7881131691430897,0.04457561571341339
15,"Montezuma, IA",0.22876516773733047,0.3211422845691383,1462,41.584720000000004,-92.52528000000001,30,8.784117647058823,33.166470588235285,507.64705882352933,44539.823529411755,21.682352941176468,1.8541176470588236,3.6952941176470584,17,0.09679913553202461,0.3440172924940289,0.7545228139444321,1.993452255401079,0.09309024332282315,0.7018770444488736,1.0233222175314147,1.6611984115894958,1996,1.3652530779753762,0.02051983584131327
16,"Murray, IA",0.3836936090225564,0.41436183709718344,756,41.04333,-93.95,12,11.631176470588233,24.080588235294123,521.9411764705883,35013.5294117647,22.417647058823533,0.8270588235294118,0.9805882352941176,17,0.08160257503370766,0.39163998692941215,0.6710828908548734,1.168656271637451,0.106152706193007,0.6365767852345391,0.9767071526424635,2.2887624497386536,3941,5.212962962962963,0.015873015873015872
17,"Pacific Junction, IA",0.5034168564920274,0.5210508588750421,471,41.01833,-95.8,8,9.454705882352943,16.713529411764707,773.4705882352941,40228.76470588235,26.858823529411765,1.34,1.5641176470588238,17,0.10379429028121732,0.35374213035217683,0.6456187451092289,1.3606348261691361,0.1089602472028539,0.5774947582577027,0.9334659312775817,3.209785544313496,2969,6.3036093418259025,0.016985138004246284
18,"Sac City, IA",0.2573215808928064,0.46601441812564365,2220,42.42111,-94.995,113,8.009411764705883,26.001764705882355,503.47058823529403,38439.882352941175,29.176470588235286,0.9758823529411764,1.0564705882352945,17,0.12061966709327952,0.3911251641015497,0.6114942970819708,0.9693799576914732,0.08112600718808674,0.4743641046622143,1.0569446661817692,2.0602361784112455,1942,0.8747747747747747,0.0509009009009009
19,"Sheffield, IA",0.24086021505376345,0.29708222811671087,1172,42.893609999999995,-93.21694000000001,145,6.371764705882352,15.631176470588233,396.29411764705884,44902.41176470588,22.094117647058827,0.06176470588235295,0.19235294117647064,17,0.09479938930651056,0.30133345444392157,0.40561060268755667,1.4268029503790307,0.10095442198656085,0.5230014778922495,0.8487293764831372,1.4176593116402094,1885,1.6083617747440273,0.12372013651877133
20,"Sibley, IA",0.40247349823321554,0.5859053497942387,2798,43.403059999999996,-95.74639,140,7.2023529411764695,27.318823529411763,508.47058823529403,37378.17647058824,23.7235294117647,0.15470588235294114,0.19294117647058825,17,0.1478234012565873,0.5102419389408406,0.8691989285228889,1.52145304259149,0.1528308687648401,0.8706343481909741,1.360876827638763,2.8046857468575745,1944,0.6947819871336669,0.05003573981415296
21,"University Park, IA",0.3813569184219714,0.4666761606379949,487,41.28611,-92.61833,52,5.4423529411764715,40.572352941176476,539.0588235294117,40247.294117647056,23.829411764705878,1.0505882352941176,1.4870588235294118,17,0.04635627502778778,0.2315205110582489,0.3929494740270946,0.8964170804008775,0.042052478888748315,0.3894629997251067,0.624016115937198,1.621451851629387,7022,14.41889117043121,0.10677618069815195
22,"What Cheer, IA",0.2559241706161137,0.4683122081387592,646,41.40056,-92.355,20,18.604705882352945,24.145882352941168,405.29411764705884,28623.823529411766,23.794117647058826,1.4223529411764706,2.0423529411764707,17,0.13338725070312837,0.4960837777172117,0.6310064933697489,1.0424196200002793,0.10818111957802463,0.5879479947749253,0.8578397800721231,2.5308955945749316,1499,2.320433436532508,0.030959752321981424
23,"Williamsburg, IA",0.30984626647144947,0.34885637749845455,3068,41.66417,-92.01222,120,5.871764705882352,29.16588235294117,522.9411764705883,51637.470588235294,21.0,0.5129411764705882,0.8505882352941176,17,0.06059805421350144,0.3153399649224624,0.5414471752845109,1.2265127423342688,0.05349251389477684,0.38076207735424594,0.8349185723578598,2.5282649639056474,4853,1.5818122555410692,0.03911342894393742
